timestamp,distill_type,seed,epoch,train_loss,validation_loss,validation_accuracy,learning_rate,num_train_batches,epoch_time_sec,validation_accuracy_unknown
1763342597.6774368,black_box,0,0,883.0659898477157,8.387784090909092,0.0042857142857142,0.0001,197,172.26036190986633,0.0042857142857142
1763342773.8218856,black_box,0,1,784.8629441624365,8.725852272727273,0.0428571428571428,0.0001,197,176.14439344406128,0.0428571428571428
1763342952.1315658,black_box,0,2,728.243654822335,8.441761363636363,0.3457142857142857,0.0001,197,178.3096220493317,0.3457142857142857
1763346995.2537546,black_box,0,0,870.6392063492063,4.091869419642857,0.4314285714285714,0.0001,3150,475.4805588722229,0.4314285714285714
1763347473.721028,black_box,0,1,828.543253968254,3.906593191964286,0.4228571428571429,0.0001,3150,478.467218875885,0.4228571428571429
1763347949.696797,black_box,0,2,810.2776984126984,4.057101004464286,0.4342857142857143,0.0001,3150,475.9757182598114,0.4342857142857143
1763350041.3819046,black_box,0,0,870.6392063492063,4.091869419642857,0.4314285714285714,0.0001,3150,479.2364764213562,0.4314285714285714
1763350522.3276644,black_box,0,1,828.543253968254,3.906593191964286,0.4228571428571429,0.0001,3150,480.9456994533539,0.4228571428571429
1763351001.693873,black_box,0,2,810.2776984126984,4.057101004464286,0.4342857142857143,0.0001,3150,479.3661477565765,0.4342857142857143
1763352806.5008757,black_box,0,0,862.4189682539683,4.261651785714286,0.4357142857142857,0.0001,3150,389.53854298591614,0.4357142857142857
1763353197.376295,black_box,0,1,783.3825396825397,4.16166015625,0.4314285714285714,0.0001,3150,390.87537121772766,0.4314285714285714
1763353587.3511298,black_box,0,2,735.2518253968254,4.028415178571429,0.4228571428571429,0.0001,3150,389.9747846126557,0.4228571428571429
1763354015.4832468,black_box,1,0,860.6462698412698,4.066629464285715,0.4014285714285714,0.0001,3150,393.3792958259583,0.4014285714285714
1763354405.2831645,black_box,1,1,773.0999206349206,3.8729854910714288,0.4128571428571428,0.0001,3150,389.79986476898193,0.4128571428571428
1763354796.1622405,black_box,1,2,721.2519047619047,3.9314732142857145,0.4242857142857142,0.0001,3150,390.87902212142944,0.4242857142857142
1763355222.462886,black_box,2,0,876.6607936507936,3.4741936383928573,0.4014285714285714,0.0001,3150,391.838693857193,0.4014285714285714
1763355613.942837,black_box,2,1,776.5061904761905,3.5199051339285714,0.44,0.0001,3150,391.479896068573,0.44
1763356005.7498598,black_box,2,2,721.3502380952381,3.44609375,0.4371428571428571,0.0001,3150,391.8069665431976,0.4371428571428571
1763356429.6522434,black_box,3,0,901.5003968253968,3.5293917410714286,0.3985714285714286,0.0001,3150,389.7941987514496,0.3985714285714286
1763356819.9913056,black_box,3,1,824.8617460317461,3.5066573660714284,0.4385714285714285,0.0001,3150,390.33900785446167,0.4385714285714285
1763357213.063281,black_box,3,2,805.9892857142858,3.384411272321429,0.4471428571428571,0.0001,3150,393.0719268321991,0.4471428571428571
1763357637.9802234,black_box,4,0,858.1318253968254,3.2080747767857143,0.39,0.0001,3150,390.4683766365051,0.39
1763358026.0315173,black_box,4,1,768.198492063492,3.2585379464285715,0.4485714285714285,0.0001,3150,388.0512363910675,0.4485714285714285
1763358415.1074152,black_box,4,2,714.1898412698413,3.3249832589285715,0.3942857142857143,0.0001,3150,389.0758457183838,0.3942857142857143
1763358837.125673,black_box,5,0,861.1057142857143,3.475686383928571,0.3942857142857143,0.0001,3150,387.47404646873474,0.3942857142857143
1763359226.5853915,black_box,5,1,773.2381746031746,3.302472098214286,0.45,0.0001,3150,389.4596636295319,0.45
1763359614.868807,black_box,5,2,720.2757936507936,3.413264508928572,0.4557142857142857,0.0001,3150,388.28335881233215,0.4557142857142857
1763360036.857774,black_box,6,0,863.3992857142857,3.5087779017857144,0.3957142857142857,0.0001,3150,387.5739643573761,0.3957142857142857
1763360424.2507403,black_box,6,1,775.3092063492063,3.7260044642857135,0.3985714285714286,0.0001,3150,387.3929133415222,0.3985714285714286
1763360810.643132,black_box,6,2,724.1120634920635,3.6523214285714287,0.4542857142857143,0.0001,3150,386.3923411369324,0.4542857142857143
1763361240.0088446,hidden_state,0,0,861.431507936508,4.191037946428572,0.43,0.0001,3150,395.03179836273193,0.43
1763361636.5954738,hidden_state,0,1,783.3143650793651,4.169921875,0.4485714285714285,0.0001,3150,396.5865590572357,0.4485714285714285
1763362032.4597788,hidden_state,0,2,733.1117460317461,4.0165178571428575,0.42,0.0001,3150,395.86425614357,0.42
1763362464.4210534,hidden_state,1,0,858.5035714285714,4.213376116071428,0.3814285714285714,0.0001,3150,397.40415477752686,0.3814285714285714
1763362860.9427466,hidden_state,1,1,775.8733333333333,3.9257645089285713,0.4171428571428571,0.0001,3150,396.5216431617737,0.4171428571428571
1763363258.1414063,hidden_state,1,2,722.6591269841269,3.859659598214286,0.42,0.0001,3150,397.1986105442047,0.42
1763363692.0721247,hidden_state,2,0,858.4480158730158,3.5179575892857144,0.4114285714285714,0.0001,3150,399.3499104976654,0.4114285714285714
1763364093.3324628,hidden_state,2,1,770.6881746031746,3.4547823660714285,0.42,0.0001,3150,401.2602465152741,0.42
1763364494.744599,hidden_state,2,2,713.085,3.4004073660714287,0.4542857142857143,0.0001,3150,401.4120857715607,0.4542857142857143
1763364925.011973,hidden_state,3,0,900.0807142857143,3.637583705357143,0.44,0.0001,3150,395.7089953422546,0.44
1763365318.2171893,hidden_state,3,1,824.5341269841269,3.4185100446428573,0.3857142857142857,0.0001,3150,393.2051680088043,0.3857142857142857
