distill_type,seed,final_epoch,final_train_loss,final_val_loss,final_val_acc,validation_accuracy_sst2_final,validation_accuracy_mmlu_final,validation_accuracy_gsm8k_final
black_box,0,2,717.8071065989848,9.171875,0.3028571428571429,0.4338842975206611,0.0,0.017094017094017
black_box,1,2,727.6852791878173,8.653409090909092,0.3357142857142857,0.4805725971370143,0.0,0.0
black_box,2,2,798.3553299492386,8.244318181818182,0.3614285714285714,0.5029821073558648,0.0,0.0
black_box,3,2,763.9796954314721,8.367897727272727,0.2771428571428571,0.381139489194499,0.0,0.0
black_box,4,2,719.4314720812183,8.024147727272727,0.2228571428571428,0.3051181102362205,0.0,0.0108695652173913
black_box,5,2,727.0203045685279,8.464488636363637,0.2971428571428571,0.4031007751937984,0.0,0.0
black_box,6,2,719.2994923857868,8.484375,0.1314285714285714,0.184,0.0,0.0
hidden_state,0,2,712.9333333333333,8.386607142857143,0.2328571428571428,0.3367768595041322,0.0,0.0
hidden_state,1,2,721.3301587301587,8.715178571428572,0.2557142857142857,0.3640081799591002,0.0,0.0087719298245614
hidden_state,2,2,709.6285714285714,8.0921875,0.2714285714285714,0.3777335984095427,0.0,0.0
hidden_state,3,2,710.8063492063492,8.259598214285715,0.2342857142857143,0.3222003929273084,0.0,0.0
hidden_state,4,2,717.6476190476191,7.697098214285714,0.2928571428571428,0.4035433070866142,0.0,0.0
hidden_state,5,2,720.2666666666667,7.893080357142857,0.3171428571428571,0.4302325581395348,0.0,0.0
hidden_state,6,2,716.3460317460317,8.328794642857142,0.27,0.378,0.0,0.0
